#SampleID	State	Year	SiteAlias	SampleID2	Collected_Date	WaterbodyName	Latitude	Longitude	COMID	US_L4CODE	US_L3CODE	DIST_Cat	CatAreaSqKm	WsAreaSqKm	BFICat	ElevCat	Na2OCat	Al2O3Cat	CaOCat	Fe2O3Cat	SiO2Cat	MgOCat	SCat	P2O5Cat	K2OCat	NCat	HydrlCondCat	CompStrgthCat	ICI_v2_1	PctImp2019Cat	AgKffactCat	KffactCat	PctGlacTilCrsCat	SN_2008Cat	NO3_2008Cat	InorgNWetDep_2008Cat	NH4_2008Cat	PctUrban2019Cat	PctForest2019Cat	PctAg2019Cat	PctWetland2019Cat	PctHay2019Cat	PctCrop2019Cat	NsurpCat	NANICat	PrecipCat	TmaxCat	TmeanCat	TminCat	MSST_Avg	RockNCat	RunoffCat	ClayCat	SandCat	WtDepCat	OmCat	PermCat	RckDepCat	sw_fluxCat	WaterInputCat	wdrw_LDCat	WetIndexCat	Temperature_DegC	SpecConductivity_msCm	DO	Tot_Alk	NO3NO2	Chloride	Chla_area	Color_app	TKN	TN	TP	Turbidity	TDS	Chla_conc	pH
MassExtra_Ref_5289	MA	2024	MassExtra_Ref_5289	MassExtra_Ref_5289	15-AUG-2024	Mason Brook	42.706137	-71.751964	6075289	59h	59	Ref	2.628	16.3251	48	147.6277	2.7922	14.7374	4.3442	5.1787	62.6306	2.2786	0.0309	0.1606	2.3144	0.0259	0.1704	130.1297	0.793343493258116	1.82	0.0063	0.23	39.69	638.9256	11.8464	4.4842	2.3375	4.18	81.16	1.88	7.19	1.88	0	2947.93728096792	2488.43905869041	1209.32863180137	14.5555798782192	8.56739434609589	-10.918424544589	18.920355952	110.1138	494	4.67	50.064	146.77	3.15	9.02	132.34	594044	1.3037061709616E-05	21.4029	757.8599	20	90	9.01	8.64	0.05	14	0.0022	52	0.497	0.5	0.021	1.3	61	0.454	6.59
MassExtra_Ref_5289	MA	2024	MassExtra_Ref_5289	MassExtra_Ref_5289_QC	15-AUG-2024	Mason Brook	42.706137	-71.751964	6075289	59h	59	Ref	2.628	16.3251	48	147.6277	2.7922	14.7374	4.3442	5.1787	62.6306	2.2786	0.0309	0.1606	2.3144	0.0259	0.1704	130.1297	0.793343493258116	1.82	0.0063	0.23	39.69	638.9256	11.8464	4.4842	2.3375	4.18	81.16	1.88	7.19	1.88	0	2947.93728096792	2488.43905869041	1209.32863180137	14.5555798782192	8.56739434609589	-10.918424544589	18.920355952	110.1138	494	4.67	50.064	146.77	3.15	9.02	132.34	594044	1.3037061709616E-05	21.4029	757.8599				8.48	0.05	14	0.0018	52	0.387	0.39	0.02	1.7	74	0.364	6.48
MassExtra_Ref_8749	MA	2024	MassExtra_Ref_8749	MassExtra_Ref_8749	17-AUG-2024	Trout Brook	42.383816	-71.837751	6078749	59h	59	Ref	4.4613	17.8578	52.1755	202.7211	2.7631	14.3572	1.392	3.9287	67.7348	1.2963	0.0349	0.1168	3.511	0.0204	0.0494	137.8822	0.777583948234369	1.7	0.0084	0.2025	0	677.0109	12.5528	4.7411	2.4638	3.57	80.05	1.88	11.3	1.88	0	6568.09245780316	6028.37808933069	1211.5828261973	14.3714686842647	8.71176628973169	-10.5131532287271	18.567422987	101.8681	494	3.8335	62.4824	113.9912	0.8988	22.4901	143.6016	594044	2.56178142582434E-05	106.6665	786.8414	18.4	83.5	8.62	11.5	0.11	14	7E-04	85	0.816	0.93	0.028	0.99	49	0.137	6.71
MassExtra_Strs_5834	MA	2024	MassExtra_Strs_5834	MassExtra_Strs_5834	14-AUG-2024	Quinsigamond River	42.208366	-71.69757	6115834	59c	59	Strs	6.1272	96.4395	54	130.4513	3.0317	13.8382	1.9716	3.8041	69.3666	1.313	0.0199	0.0929	3.5616	0.0058	0.0214	175.0999	0.486116440037737	15.56	0.0326	0.2084	29.61	636.9873	11.7832	4.4334	2.2896	31.16	39.7	6.12	8.9	5.21	0.91	22558.5470583711	23958.3010011171	1223.07616941833	15.0604171235311	9.23729813658931	-10.1114571748678	20.37118257935	85.9209	700	5.2691	53.438	91.9484	0.8384	13.0552	141.2324	776153	9.78374279476878E-05	299.4268	781.775	23.5	554	8.44	34.2	0.05	120	0.0056	31	0.401	0.4	0.033	1.4	250	1.13	7.01
OverRef_1339	MA	2024	OverRef_1339	OverRef_1339	18-AUG-2024	East Branch Fever Brook	42.479448	-72.224754	7691339	59b	59	Ref	1.1223	14.184	48	241.6881	2.2709	14.8016	5.1805	8.3748	58.7576	3.9614	0.0388	0.1441	1.8586	0.0244	0.078	135.4564	0.867447774800777	0.04	3E-04	0.19	100	704.7501	13.0966	4.9858	2.6237	0	96.24	0	1.68	0	0	1151.00114847092	923.196358286135	1207.83357391339	13.9840665112269	7.93971273434643	-11.3836405607859	18.7382085199	53.3009	469	4.99	55.7	99.95	1.45	13.98	139.56	439717	3.23236916436299E-07	5.3335	745.49	20.2	68	7.28	8.5	0.05	15	0.0013	90	0.415	0.42	0.02	1.3	72	0.264	6.36
OverRef_1407	MA	2024	OverRef_1407	OverRef_1407	18-AUG-2024	Parkers Brook	42.394423	-72.047131	7691407	59b	59	Ref	2.8818	13.7736	51.7508	244.0094	1.8567	15.0957	3.7427	7.8111	61.5128	3.4039	0.0739	0.1613	2.2513	0.0344	0.1894	96.4823	0.750892084402752	1.61	0.0027	0.2004	0	661.2796	12.2823	4.6596	2.4387	3.31	82.55	1.75	8.62	1.75	0	3651.0473926765	3186.11064383245	1185.14871438788	14.027028696752	8.10812174178638	-11.3457213630543	17.525345800975	96.6899	469	3.6222	62.3664	117.2357	0.9076	23.8788	143.9504	439717	6.42376750493469E-06	40.5035	759.8538	15.6	95	9.7	14.6	0.05	19	0.0019	46	0.15	0.15	0.024	4.2	78	0.375	6.46
OverRef_3355	MA	2024	OverRef_3355	OverRef_3355	18-AUG-2024	Not Available	42.688459	-72.179348	9343355	58g	58	Ref	1.5021	37.377	48.2612	290.5313	3.262	14.5157	2.2894	3.9544	69.3868	1.1218	0.0117	0.1211	2.9413	0.0075	0.0297	150.7441	0.808053159709614	0.53	0.0072	0.21	100	653.645	12.1858	4.6101	2.4023	0.66	82.86	3.06	6.59	3.06	0	1540.58200200102	1261.85596029245	1203.48949632115	13.5252828381066	7.51506609340923	-12.1960453944278	18.818236404775	15.9712	641	3.73	57.98	101.49	6.55	9.75	146.3	301861	9.24550437208868E-06	113.5712	741.0719	20.8	55	8.45	8.18	0.05	10	0.0014	160	0.592	0.59	0.022	1.5	89	0.292	6.74
OverRef_3377	MA	2024	OverRef_3377	OverRef_3377	18-AUG-2024	West Branch Tully River	42.663519	-72.267105	9343377	58g	58	Ref	0.945	23.445	49	218.1218	2.3378	14.2019	5.137	7.2358	59.8545	3.3068	0.0336	0.136	2.0336	0.0207	0.0672	139.4099	0.730945684160559	1.78	0.0099	0.194	42.19	652.3377	12.158	4.6061	2.4055	3.91	80.76	2.76	9.33	2.76	0	1227.88043749248	1096.8939205786	1199.84829031429	14.003516183619	7.76524337859048	-12.063143098	18.56015640935	16.893	641	3.1294	62.5868	139.8155	1.6392	24.3729	141.508	301861	2.50060486331492E-05	52.36	782.3562	19.9	36.5	8.67	8.4	0.05	3.9	9E-04	41	0.32	0.32	0.01	1.1	42	0.189	6.82
OverRef_3457	MA	2024	OverRef_3457	OverRef_3457	18-AUG-2024	Not Available	42.620169	-72.393038	9343457	58g	58	Ref	10.8945	10.8945	49	300.4704	2.7962	13.9417	3.6112	4.8441	65.471	1.7447	0.0209	0.1265	2.5573	0.0141	0.0713	144.2306	0.825795687419504	0.22	0.0018	0.2266	100	658.4045	12.2861	4.6551	2.4315	0.32	89.94	0.66	5.72	0.66	0	11151.7387135947	9421.71084861403	1222.66192353573	13.5371228935151	7.49364863056588	-11.8809084432053	17.439621293525	20.4667	640.6861	4.6905	50.315	143.7647	3.0339	9.3384	132.8034	302027.2097	3.86808454484581E-05	7.159	724.2891	18.1	23.6	8.7	6.56	0.05	2.6	4E-04	88	0.517	0.52	0.013	1	49	0.083	6.65
OverRef_3809	MA	2024	OverRef_3809	OverRef_3809	18-AUG-2024	Lyons Brook	42.572243	-72.463848	9343809	58g	58	Ref	6.2712	9.297	47.7989	271.5457	2.7353	13.04	1.8518	3.8657	71.1976	1.0697	0.01	0.1152	2.6004	0.0033	0.0275	173.9847	0.785929441567054	0.65	0.006	0.19	100	700.4354	13.0449	4.9549	2.5982	1.16	87.99	2.96	1.72	2.96	0	7373.96992401321	6298.2520583859	1245.15249745838	13.70981504093	7.73255608474455	-11.7178530112801	17.604562008725	134.7755	639.712	4.99	55.7	99.95	1.45	13.98	139.56	302041.465	8.49493749688564E-05	27.8158	723.9501	18.2	33	9.46	8.2	0.05	4.3	3E-04	75	0.15	0.15	0.01	0.55	52	0.056	6.49
