#SampleID	State	Year	SiteAlias	dashedName	SampleID2	Collected-Date	WaterbodyName	Latitude	Longitude	COMID	US-L4CODE	US-L3CODE	DIST-Cat	CatAreaSqKm	WsAreaSqKm	BFICat	ElevCat	Na2OCat	Al2O3Cat	CaOCat	Fe2O3Cat	SiO2Cat	MgOCat	SCat	P2O5Cat	K2OCat	NCat	HydrlCondCat	CompStrgthCat	ICI-v2-1	PctImp2019Cat	AgKffactCat	KffactCat	PctGlacTilCrsCat	SN-2008Cat	NO3-2008Cat	InorgNWetDep-2008Cat	NH4-2008Cat	PctUrban2019Cat	PctForest2019Cat	PctAg2019Cat	PctWetland2019Cat	PctHay2019Cat	PctCrop2019Cat	NsurpCat	NANICat	PrecipCat	TmaxCat	TmeanCat	TminCat	MSST-Avg	RockNCat	RunoffCat	ClayCat	SandCat	WtDepCat	OmCat	PermCat	RckDepCat	sw-fluxCat	WaterInputCat	wdrw-LDCat	WetIndexCat	Temperature-DegC	SpecConductivity-msCm	DO	Tot-Alk	NO3NO2	Chloride	Chla-area	Color-app	TKN	TN	TP	Turbidity	TDS	Chla-conc	pH
OverRef_5948-2022	MA	2022	OverRef-5948	OverRef-5948-2022	OverRef-5948	9/11/22	Unnamed Tributary	42.15023573	-71.61668857	6115948	59c	59	SomeStrs	3.4695	40.4208	53.9416	94.0901	3.54	14.2833	1.39	1.99	72.3	0.45	0.03	0.1	4.49	0.0034	0.0001	188.6766	0.655794652	5.63	0.0135	0.1886	36.08	624.3724	11.5326	4.3349	2.2352	10.42	57.8	2.57	22.23	2.57	0	7401.19293	7267.018169	1233.642945	15.43699788	9.499780503	-10.00451364	19.6486219	97.0198	700	3.1043	66.3383	125.1874	0.9306	27.2824	144.8051	776153	3.40E-05	185.4658	797.9977	20.5	0.455	6.5	29	0.23	89	0.003	32	0.532	0.76	0.016	1.4	240	0.575	6.28
OverRef_6983-2023	MA	2023	OverRef-6983	OverRef-6983-2023	OverRef-6983	8/6/23	Benton Brook	42.1860368	-73.10016196	6106983	58d	58	BestRef	8.1864	8.1864	42.694	482.1866	2.781	14.1608	2.7275	4.4479	67.847	1.3842	0.026	0.13	2.8458	0.0079	0.1589	132.0485	0.841203861	0.56	6.00E-04	0.23	99.93	687.1709	12.8396	4.8564	2.5283	0.92	78.34	0.05	14.2	0.05	0	9036.925735	7399.88186	1283.122007	12.31810732	7.012641565	-11.23303643	16.91373945	137.1376	694.7111	6.21	42.1621	96.6	2.22	4.04	130.17	690672.6161	0	0	745.0475	18.4	71.2	9.07	22	0.05	3.8	0.0024	48	0.966	0.97	0.005	1.1	46	0.379	7.16
OverRef_7631-2023	MA	2023	OverRef-7631	OverRef-7631-2023	OverRef-7631	8/2/23	Stevens Brook	42.0580156	-72.18483273	6147631	59b	59	Ref	9.3429	9.3429	52.8194	301.8062	2.0521	14.955	4.1591	7.5524	61.0735	3.2982	0.0624	0.1598	2.1864	0.031	0.1743	110.0888	0.766982201	0.45	0.0084	0.2002	100	668.9284	12.4593	4.6942	2.4293	0.75	80.35	3.42	9	2.4	1.02	13658.37656	12279.91313	1284.87036	13.62743352	8.617253988	-9.771678968	17.50109969	29.5302	688.5334	5.6787	48.6095	131.6789	1.4113	10.9742	129.7542	393382.5125	9.62E-05	137.6568	745.1664	17	76	10.18	8	0.05	12	0.0034	140	0.453	0.45	0.019	7.3	60	0.588	6.92
OverRef_7631-2025	MA	2025	OverRef-7631	OverRef-7631-2025	OverRef-7631	8-Sep-25	Stevens Brook	42.0580156	-72.18483273	6147631	59b	59	Ref	9.3429	9.3429	52.8194	301.8062	2.0521	14.955	4.1591	7.5524	61.0735	3.2982	0.0624	0.1598	2.1864	0.031	0.1743	110.0888	0.766982201	0.45	0.0084	0.2002	100	668.9284	12.4593	4.6942	2.4293	0.75	80.35	3.42	9	2.4	1.02	13658.37656	12279.91313	1284.87036	13.62743352	8.617253988	-9.771678968	17.50109969	29.5302	688.5334	5.6787	48.6095	131.6789	1.4113	10.9742	129.7542	393382.5125	9.62E-05	137.6568	745.1664	14.3	105.6	10.22	9.94	0.05	16	0.0015	37	0.676	0.68	0.02	2.2	98	0.309	7.23
OverStrs_0879-2025	MA	2025	OverStrs-0879	OverStrs-0879-2025	OverStrs-0879	10-Sep-25	West Branch Mill River	42.39176	-72.72723	6780865	58e	58	Strs	0.9027	33.7077	46	205.632	1.3302	12.4846	5.4718	6.1646	55.4726	2.6493	0.0537	0.1314	2.2601	0.0363	0.1897	95.4631	0.507892253	10.31	0.0083	0.189	16.65	688.9701	12.8626	4.8687	2.5391	18.54	66.6	5.28	1.1	5.28	0	1311.965166	1167.187807	1240.321993	14.38400298	8.178564096	-11.49571285	17.97753586	146.2614	616	3.6875	60.9261	116.2332	0.9036	23.4497	143.8426	385693	8.13E-06	14.4882	718.2772	14.2	157	10.54	31.8	0.12	24	0.0072	8	0.37	0.49	0.021	0.4	100	1.46	7.22
OverStrs_1871-2025	MA	2025	OverStrs-1871	OverStrs-1871-2025	OverStrs-1871	9-Sep-25	Lampson Brook	42.28189876	-72.42726497	6781871	59b	59	Strs	1.6317	5.0418	51.8538	107.5001	2.0528	11.9608	3.1471	4.2876	67.2698	2.2503	0.022	0.1126	2.46	0.0204	0.0183	138.2473	0.378097474	0.79	0.0421	0.1874	100	742.7632	13.8021	5.252	2.7618	1.77	51.24	15.95	26.59	12.36	3.59	5384.546273	5444.066856	1188.019726	15.16153041	9.122102045	-10.1275788	18.87605204	129.094	616	4.5051	58.5731	106.7129	1.3524	17.3339	140.752	385693	6.10E-05	57.5642	860.8605	16.3	623	9.46	72.2	0.35	71	0.0025	22	0.661	1	0.132	0.73	250	0.514	7.58
OverStrs_3709-2023	MA	2023	OverStrs-3709	OverStrs-3709-2023	OverStrs-3709	8/1/23	Matfield River	42.0311824	-70.9706239	6123709	59e	59	HighStrs	0.8865	79.9416	53	17.9138	1.0791	8.7641	1.4054	2.9556	64.0112	1.3013	0.2169	0.1263	1.6136	0.1243	0.1677	78.6861	0.402065918	13.45	0.0309	0.18	0	567.4448	10.041	3.7489	1.9123	26.8	28.22	15.13	15.23	4.67	10.46	4034.848327	4380.543687	1270.367327	15.8143017	9.972034414	-7.300000191	21.14029044	13.974	668	2.35	72.09	136.77	0.96	32.24	146.05	1206491	0.00041911	234.584	853.0579	20.9	640	7.64	51	1	110	0.0025	48	0.639	1.6	0.047	0.73	290	0.51	6.84
OverStrs_6089-2023	MA	2023	OverStrs-6089	OverStrs-6089-2023	OverStrs-6089	8/2/23	Monoosnoc Brook	42.5301171	-71.7527373	6076089	59h	59	HighStrs	1.4409	29.4471	52.0687	110.1323	2.2759	14.2075	4.36	6.645	60.4379	2.6575	0.04	0.15	1.98	0.0402	0.2988	110.3559	0.394296403	64.44	0.0012	0.1633	0	619.8155	11.4893	4.3312	2.2441	88.31	5.06	0.5	0.19	0.5	0	11568.71988	14050.73243	1175.857697	15.14778233	9.150068888	-10.18744537	19.1111496	71.6521	494	4.5036	55.1369	103.261	0.668	18.1045	107.8048	594044	1.99E-06	24.9253	860.9638	22.3	278	8.76	16	0.17	47	0.0021	32	0.328	0.5	0.005	1.1	120	0.43	7.01
OverStrs_6365-2022	MA	2022	OverStrs-6365	OverStrs-6365-2022	OverStrs-6365	9/12/22	Horn Pond Brook	42.4611599	-71.149215	5866365	59d	59	HighStrs	2.7468	40.4433	54.8139	29.0436	3.0203	15.8607	7.7203	8.98	53.7566	4.7733	0.0547	0.2186	1.2503	0.0099	0.4574	193.3754	0.384118117	64.38	0.0014	0.1852	83.72	613.1938	11.1152	4.1606	2.1317	91.45	2.53	0	0	0	0	37977.02285	45894.24673	1268.617585	15.22602644	9.784422969	-7.868676402	19.76305588	6.7363	509	2.589	67.6133	133.0742	0.9342	30.6677	142.6716	2004387	1.21E-05	9.6267	828.1687	19.4		17.5	99.4	1.2	300	0.006	13	0.42	1.6	0.018	0.94	620	1.24	7.11
OverStrs_6365-2025	MA	2025	OverStrs-6365	OverStrs-6365-2025	OverStrs-6365	5-Sep-25	Horn Pond Brook	42.4611599	-71.149215	5866365	59d	59	Strs	2.7468	40.4433	54.8139	29.0436	3.0203	15.8607	7.7203	8.98	53.7566	4.7733	0.0547	0.2186	1.2503	0.0099	0.4574	193.3754	0.384118117	64.38	0.0014	0.1852	83.72	613.1938	11.1152	4.1606	2.1317	91.45	2.53	0	0	0	0	37977.02285	45894.24673	1268.617585	15.22602644	9.784422969	-7.868676402	19.76305588	6.7363	509	2.589	67.6133	133.0742	0.9342	30.6677	142.6716	2004387	1.21E-05	9.6267	828.1687	18.6	1328	7.53	68.2	0.94	340	0.0075	26	0.784	1.7	0.048	3.1	1000	1.34	7.12
